program,year,happy,field_interest,team_responsible,professor,work_setting,work_outfit,start_work,design,analyze,gather_information,prefer,part_of,working_on,cause,goals,conversation,develop,working_with,leader,gender
Biomedical Engineering,1,Yes,Research,Penicillin,"Mark Zuckerberg, Founder of Facebook",In a laboratory,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Technology,Computers,No,Female
Biomedical Engineering,1,Yes,Research,The Internet,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Talk,Focused team,Continuously change and update requirements as you go,Health,A week from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Male
Biomedical Engineering,1,Yes,Manufacturing,The Robot,"Elon Musk, Founder of Tesla",In a manufacturing facility,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Focused team,Continuously change and update requirements as you go,Human Rights,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,People,No,Female
Biomedical Engineering,2,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Today,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes,Female
Biomedical Engineering,1,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes,Female
Biomedical Engineering,3,Yes,Manufacturing,The Robot,"Warren Buffett, Billionaire American Business Men",In an office,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Graphs and charts,By talking to the people who use the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes,Male
Biomedical Engineering,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By talking to the people who use the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Business Processes,Yes,Male
Biomedical Engineering,2,Yes,Software Development,Penicillin,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,People,No,Female
Biomedical Engineering,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Formal,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Life Science,People,Yes,Male
Biomedical Engineering,1,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a laboratory,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,People,Yes,Female
Biomedical Engineering,2,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the internal components of the system,Read,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,People,Yes,Female
Biomedical Engineering,2,Yes,Software Development,Penicillin,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Focused team,Continuously change and update requirements as you go,Health,One year from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Technology,Computers,No,Male
Biomedical Engineering,2,Yes,Manufacturing,The Automobile,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Write,Focused team,Know all the requirements for the project at the beginning,Health,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Math,Machinery,No,Male
Biomedical Engineering,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Male
Biomedical Engineering,2,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Protective Clothing,Work for a small company,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,Computers,No,Male
Biomedical Engineering,2,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By talking to the people who use the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,A week from now,A microchip that is smaller than usual but twice as powerful as before,Physics,People,No,Female
Biomedical Engineering,2,Yes,Research,The Robot,"Mark Zuckerberg, Founder of Facebook",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes,Female
Biomedical Engineering,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes,Male
Biomedical Engineering,1,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Life Science,People,Yes,Male
Biomedical Engineering,3,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Protective Clothing,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Physics,People,Yes,Male
Biomedical Engineering,2,Yes,Research,Solar Panels,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,No,Female
Biomedical Engineering,2,Yes,Manufacturing,The Robot,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Physics,People,Yes,Female
Biomedical Engineering,2,Yes,Software Development,Penicillin,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Write,Focused team,Continuously change and update requirements as you go,Health,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Business Processes,Yes,Male
Biomedical Engineering,2,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Protective Clothing,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the internal components of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Life Science,People,Yes,Male
Biomedical Engineering,3,Yes,Manufacturing,Penicillin,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,People,No,Female
Biomedical Engineering,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Formal,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Read,Focused team,Know all the requirements for the project at the beginning,Health,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Math,People,No,Male
Biomedical Engineering,1,Yes,Research,Penicillin,"Mark Zuckerberg, Founder of Facebook",In a laboratory,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Write,Focused team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Math,People,Yes,Female
Biomedical Engineering,2,Yes,Software Development,The Automobile,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Write,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A week from now,A microchip that is smaller than usual but twice as powerful as before,Life Science,Computers,Yes,I choose not to specify
Biomedical Engineering,1,Yes,Research,The Robot,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Focused team,Continuously change and update requirements as you go,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,People,No,Male
Biomedical Engineering,3,Yes,Research,The Robot,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Talk,Focused team,Continuously change and update requirements as you go,Health,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,People,Yes,Female
Biomedical Engineering,2,Yes,Manufacturing,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Today,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Technology,People,No,Female
Biomedical Engineering,1,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,People,No,Female
Biomedical Engineering,3,Yes,Research,The Robot,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the internal components of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,No,Male
Biomedical Engineering,1,Yes,Research,Solar Panels,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Protective Clothing,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Technology,People,Yes,Female
Biomedical Engineering,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes,Female
Biomedical Engineering,1,Yes,Research,The Robot,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Continuously change and update requirements as you go,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Life Science,People,Yes,Female
Biomedical Engineering,3,Yes,Software Development,The Robot,"Mark Zuckerberg, Founder of Facebook",In an office,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the internal components of the system,Read,Focused team,Know all the requirements for the project at the beginning,Health,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Computers,No,Female
Biomedical Engineering,3,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Machinery,Yes,Female
Biomedical Engineering,1,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Formal,Work for a small company,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the internal components of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Math,People,No,Male
Biomedical Engineering,1,Yes,Research,The Internet,"Warren Buffett, Billionaire American Business Men",In the outdoors,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the internal components of the system,Talk,Focused team,Know all the requirements for the project at the beginning,Health,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,People,Yes,Male
Biomedical Engineering,1,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Health,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,People,Yes,Female
Biomedical Engineering,1,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a laboratory,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Focused team,Continuously change and update requirements as you go,Health,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,No,Female
Biomedical Engineering,1,Yes,Manufacturing,The Automobile,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Formal,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By talking to the people who use the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes,Male
Chemical Engineering,3,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a laboratory,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Write,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,Computers,Yes,Female
Chemical Engineering,3,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a manufacturing facility,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By talking to the people who use the system,Read,Focused team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,People,No,Female
Chemical Engineering,2,Yes,Manufacturing,Penicillin,"Elon Musk, Founder of Tesla",In a manufacturing facility,Protective Clothing,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,Focused team,Continuously change and update requirements as you go,Environment,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,Machinery,No,Male
Chemical Engineering,3,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes,Female
Chemical Engineering,2,Yes,Manufacturing,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In an office,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes,Female
Chemical Engineering,1,Yes,Research,Solar Panels,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,People,Yes,Male
Chemical Engineering,2,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a manufacturing facility,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Math,People,Yes,Male
Chemical Engineering,2,Yes,Manufacturing,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In an office,Formal,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By talking to the people who use the system,Write,Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,People,Yes,Female
Chemical Engineering,2,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Test results,By analyzing the internal components of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,People,Yes,Female
Chemical Engineering,2,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a laboratory,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By talking to the people who use the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,People,Yes,Female
Chemical Engineering,3,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In a manufacturing facility,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Environment,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Math,People,Yes,Male
Chemical Engineering,3,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Read,Focused team,Know all the requirements for the project at the beginning,Environment,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,People,No,Female
Chemical Engineering,4,Yes,Construction,Solar Panels,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a manufacturing facility,Protective Clothing,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Technology,People,Yes,Female
Chemical Engineering,Alumni,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In a manufacturing facility,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,People,Yes,Female
Chemical Engineering,4,Yes,Manufacturing,Penicillin,"Elon Musk, Founder of Tesla",In a manufacturing facility,Protective Clothing,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Physics,Business Processes,Yes,Female
Chemical Engineering,1,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By talking to the people who use the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes,Female
Chemical Engineering,3,Yes,Manufacturing,Penicillin,"Mark Zuckerberg, Founder of Facebook",In a manufacturing facility,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Read,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Machinery,Yes,Female
Chemical Engineering,2,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By talking to the people who use the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,People,Yes,Female
Chemical Engineering,2,Yes,Manufacturing,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a manufacturing facility,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,People,Yes,Female
Chemical Engineering,2,Yes,Manufacturing,Penicillin,"Elon Musk, Founder of Tesla",In a manufacturing facility,Protective Clothing,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Health,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Machinery,Yes,Female
Chemical Engineering,1,Yes,Research,The CN Tower,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Test results,By analyzing the internal components of the system,Talk,Focused team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Machinery,Yes,Male
